image,prompt_set,caption
NWPU_7597.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_7597.jpg,basic," Describe any visible activity.
no"
NWPU_7597.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_7597.jpg,descriptive," Write a detailed description.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_7597.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_4083.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_4083.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_4083.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_4083.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_277.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_277.jpg,basic," Describe any visible activity.
no"
RSICD_277.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_277.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_277.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_20874.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_20874.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_20874.jpg,descriptive," Write a detailed description.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_24420.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_24420.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_24420.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_24420.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_608.jpg,basic," Summarize what’s visible.
unanswerable"
RSICD_608.jpg,basic," Describe any visible activity.
no"
RSICD_608.jpg,basic," Describe the visual content of this image.
unanswerable"
RSICD_608.jpg,partial," What is the background?
unanswerable"
RSICD_608.jpg,partial," What are the contents of this image?
unanswerable"
RSICD_608.jpg,partial," What are the features of this image?
no image"
RSICD_608.jpg,descriptive," Describe all visible elements.
unanswerable"
RSICD_608.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_2024.jpg,basic," Describe any visible activity.
no"
NWPU_2024.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_14572.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_14572.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_14572.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_14572.jpg,descriptive," Write a detailed description.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_14572.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_14572.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_30693.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_30693.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_30693.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_30693.jpg,descriptive," Write a detailed description.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_30693.jpg,descriptive," Describe all visible elements.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_6611.jpg,basic," Describe any visible activity.
no"
RSICD_6611.jpg,basic," Describe the visual content of this image.
Sorry, as a base VLM I am not trained to answer this question."
RSICD_6611.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_4126.jpg,basic," Describe any visible activity.
no"
NWPU_4126.jpg,basic," Describe the visual content of this image.
no"
NWPU_4126.jpg,descriptive," What is happening in this scene?
nothing"
NWPU_25776.jpg,basic," Summarize what’s visible.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_25776.jpg,basic," Describe any visible activity.
Sorry, as a base VLM I am not trained to answer this question."
NWPU_25776.jpg,descriptive," Write a detailed description.
Sorry, as a base VLM I am not trained to answer this question."
